chapter,figure_file,maple_script,script_path,confidence,match_method
cont1d,cont1d_bifur_pitchfork_sub3,cont1d_bifur_pitchfork.mw,Figs_cont1d/creators/cont1d_bifur_pitchfork.mw,medium,prefix
cont1d,cont1d_bifur_pitchfork_sub,cont1d_bifur_pitchfork.mw,Figs_cont1d/creators/cont1d_bifur_pitchfork.mw,medium,prefix
cont1d,cont1d_ferro_pitchfork1,cont1d_ferro_pitchfork.mw,Figs_cont1d/creators/cont1d_ferro_pitchfork.mw,medium,prefix
cont1d,cont1d_ferro_pitchfork2,cont1d_ferro_pitchfork.mw,Figs_cont1d/creators/cont1d_ferro_pitchfork.mw,medium,prefix
cont1d,cont1d_ferro_pitchfork3,cont1d_ferro_pitchfork.mw,Figs_cont1d/creators/cont1d_ferro_pitchfork.mw,medium,prefix
cont1d,cont1d_ferro_pitchfork,cont1d_ferro_pitchfork.mw,Figs_cont1d/creators/cont1d_ferro_pitchfork.mw,high,exact-name
cont1d,cont1d_ferro_pitchfork_stability,cont1d_ferro_pitchfork.mw,Figs_cont1d/creators/cont1d_ferro_pitchfork.mw,medium,prefix
cont1d,cont1d_ferro_pitch_evolution1,cont1d_ferro_pitch_numerical.mw,Figs_cont1d/creators/cont1d_ferro_pitch_numerical.mw,medium,convention
cont1d,cont1d_ferro_pitch_evolution2,cont1d_ferro_pitch_numerical.mw,Figs_cont1d/creators/cont1d_ferro_pitch_numerical.mw,medium,convention
cont1d,cont1d_ferro_field_bifurcation1,cont1d_ferro_field_bifurcation.mw,Figs_cont1d/creators/cont1d_ferro_field_bifurcation.mw,medium,prefix
cont1d,cont1d_ferro_field_bifurcation2,cont1d_ferro_field_bifurcation.mw,Figs_cont1d/creators/cont1d_ferro_field_bifurcation.mw,medium,prefix
cont1d,cont1d_ferro_field_bifurcation3,cont1d_ferro_field_bifurcation.mw,Figs_cont1d/creators/cont1d_ferro_field_bifurcation.mw,medium,prefix
cont1d,cont1d_ferro_field_bifurcation_large_m,cont1d_ferro_field_bifurcation.mw,Figs_cont1d/creators/cont1d_ferro_field_bifurcation.mw,medium,prefix
cont1d,cont1d_ferro_field_bifurcation_small_m,cont1d_ferro_field_bifurcation.mw,Figs_cont1d/creators/cont1d_ferro_field_bifurcation.mw,medium,prefix
cont1d,cont1d_ferro_field_hysteresis_T_1_5,cont1d_ferro_field_hysteresis.mw,Figs_cont1d/creators/cont1d_ferro_field_hysteresis.mw,medium,prefix
cont1d,cont1d_ferro_field_hysdata_T_1_5,cont1d_ferro_field_hysteresis.mw,Figs_cont1d/creators/cont1d_ferro_field_hysteresis.mw,medium,convention
cont1d,cont1d_ferro_field_hysteresis_T_1_25,cont1d_ferro_field_hysteresis.mw,Figs_cont1d/creators/cont1d_ferro_field_hysteresis.mw,medium,prefix
cont1d,cont1d_ferro_field_hysdata_T_1_25,cont1d_ferro_field_hysteresis.mw,Figs_cont1d/creators/cont1d_ferro_field_hysteresis.mw,medium,convention
